OBJECTID,id,xcoord,ycoord,venueSize,gigName,locationName,billing,headline,date,year,month,day,time,XBNG,YBNG
86,85,-1.1192095,52.62653,-1,Summer Sundae 2004,"Leicester, UK",,,13/08/04,2004,8,13,null,459717.1951,303560.6704
87,86,0.4522177,51.718914,-1,"Scissor Sisters, Pink, and Muse with The Killers and 15 moreà at Hylands Park (August 21, 2004)","Chelmsford, UK",,,21/08/04,2004,8,21,null,569488.1423,205088.7443
88,87,0.4522177,51.718914,-1,V Festival 2004,"Chelmsford, UK",,,21/08/04,2004,8,21,null,569488.1423,205088.7443
89,88,0.4522177,51.718914,-1,"Kasabian at Hylands Park (August 22, 2004)","Chelmsford, UK",,,22/08/04,2004,8,22,null,569488.1423,205088.7443
90,89,-0.9831782,51.46432,-1,Reading Festival 2004,"Reading, UK",,,27/08/04,2004,8,27,null,470733.3472,174417.6488
91,90,-1.39181,53.9332,-1,Leeds Festival 2004,"Wetherby, UK",,,27/08/04,2004,8,27,null,440028.9484,448735.2911
92,91,-0.969,51.454,-1,"Kasabian at Carling Weekend (August 27, 2004)","Reading, UK",,,27/08/04,2004,8,27,null,471734.4079,173283.7085
93,92,-1.548,53.797,-1,"Kasabian at Carling Weekend (August 28, 2004)","Leeds, UK",,,28/08/04,2004,8,28,null,429870.7064,433504.9945
94,93,-4.2653494,55.8625,300,"Kasabian at King Tut's Wah Wah Hut (September 7, 2004)","Glasgow, UK",,,07/09/04,2004,9,7,null,258321.7681,665578.2436
95,94,-2.23149,53.464108,450,"Kasabian at Manchester Academy 3 (September 8, 2004)","Manchester, UK",,,08/09/04,2004,9,8,null,384728.7049,396398.8156
96,95,-0.1379306,51.51614,-1,"Kasabian with Trap2 at HMV Oxford Street (September 9, 2004)","London, UK",,,09/09/04,2004,9,9,null,529301.0022,181334.0793
97,96,-1.8941518,52.478756,-1,"Kasabian with Trap 2 at The Irish Centre (September 10, 2004)","Birmingham, UK",,,10/09/04,2004,9,10,null,407285.9981,286764.063
98,97,-1.12483,52.623302,-1,"Kasabian with Trap2 at Leicester University Student Union (September 11, 2004)","Leicester, UK",,,11/09/04,2004,9,11,null,459341.1125,303196.9734
99,98,-2.1771865,53.025253,400,"Kasabian with Agent Blue and The Tonics at The Sugarmill (September 12, 2004)","Stoke On Trent, UK",,,12/09/04,2004,9,12,null,388212.7876,347566.0739
100,99,-1.907,52.478,-1,"Kasabian at One Big Weekend (September 19, 2004)","Birmingham, UK",,,19/09/04,2004,9,19,null,406413.4851,286678.7715
101,100,-1.1376497,53.52085,200,"Kasabian at Leopard (September 29, 2004)","Doncaster, UK",,,29/09/04,2004,9,29,null,457272.3047,403032.3682
102,101,-0.1059202,51.534584,800,"Kasabian at O2 Academy Islington (October 11, 2004)","London, UK",,,11/10/04,2004,10,11,null,531468.8506,183442.1131
103,102,-2.6,53.3833,-1,"Kasabian at Parr Hall (October 12, 2004)","Warrington, UK",,,12/10/04,2004,10,12,null,360187.7085,387551.5549
104,103,-2.2399013,53.482044,-1,"Kasabian at HMV Records (October 12, 2004)","Manchester, UK",,,12/10/04,2004,10,12,null,384176.9973,398396.1089
105,104,-3.1937246,55.948612,-1,"Kasabian at The Liquid Room (October 13, 2004)","Edinburgh, UK",,,13/10/04,2004,10,13,null,325549.4974,673485.3068
106,105,-1.4648403,53.376324,900,"Kasabian at The Leadmill (October 15, 2004)","Sheffield, UK",,,15/10/04,2004,10,15,null,435700.0049,386740.8979
107,106,-1.546665,53.794292,-1,"Kasabian with Trap 2 at Blank Canvas (October 16, 2004)","Leeds, UK",,,16/10/04,2004,10,16,null,429960.5645,433204.2656
108,107,-0.1304708,51.515884,2000,"Kasabian with Trap2 and Sister at Astoria (October 19, 2004)","London, UK",,,19/10/04,2004,10,19,null,529819.3053,181318.8073
109,108,-0.3714517,53.769314,-1,"Kasabian at Hull University Student Union (November 25, 2004)","Hull, UK",,,25/11/04,2004,11,25,null,507436.3104,431560.2558
110,109,-0.2252653,51.490875,5039,"Kasabian and The Departure at Hammersmith Apollo (December 5, 2004)","London, UK",,,05/12/04,2004,12,5,null,523309.633,178373.9272
111,110,-0.2252653,51.490875,5039,XFM Winter Wonderland 2004,"London, UK",,,05/12/04,2004,12,5,null,523309.633,178373.9272
112,111,-2.9658353,53.40502,-1,"Kasabian with The Dead 60s at Liverpool University Guild of Students (Mountford Hall & Stanley Theatre) (December 6, 2004)","Liverpool, UK",,,06/12/04,2004,12,6,null,335887.0035,390234.8471
113,112,-4.2369184,55.855057,1900,"Kasabian at Barrowland Ballroom (December 7, 2004)","Glasgow, UK",,,07/12/04,2004,12,7,null,260074.0055,664692.196
114,113,-2.23149,53.464108,1500,"Kasabian at Manchester Academy (December 9, 2004)","Manchester, UK",,,09/12/04,2004,12,9,null,384728.7049,396398.8156
115,114,-3.1790237,51.487686,-1,"Kasabian with The Dead 60s at Great Hall, Cardiff University (December 10, 2004)","Cardiff, UK",,,10/12/04,2004,12,10,null,318234.1941,177185.6653
116,115,-1.4055136,50.907608,1749,"Kasabian at Southampton Guildhall (December 11, 2004)","Southampton, UK",,,11/12/04,2004,12,11,null,441895.1236,112183.4769
117,116,-1.1535941,52.955887,2000,"Kasabian at Rock City (December 13, 2004)","Nottingham, UK",,,13/12/04,2004,12,13,null,456958.8264,340169.7671
118,117,-1.8998971,52.474327,3000,"Kasabian at O2 Academy Birmingham (December 14, 2004)","Birmingham, UK",,,14/12/04,2004,12,14,null,406896.471,286270.8479
119,118,-0.1148897,51.465122,4921,"Kasabian with The Dead 60s and Trap2 at O2 Academy Brixton (December 15, 2004)","London, UK",,,15/12/04,2004,12,15,null,531045.7189,175701.6561
120,119,-0.1148897,51.465122,4921,"Kasabian with The Rakes and Goldie Lookin Chain at O2 Academy Brixton (February 10, 2005)","London, UK",,,10/02/05,2005,2,10,null,531045.7189,175701.6561
121,120,-4.259961,55.849842,2500,"Kasabian with The Duke Spirit and El Presidente at O2 Academy Glasgow (April 22, 2005)","Glasgow, UK",,,22/04/05,2005,4,22,null,258612.9293,664158.8111
122,121,-2.206175,53.460663,7000,"Kasabian with The Duke Spirit at O2 Apollo Manchester (April 24, 2005)","Manchester, UK",,,24/04/05,2005,4,24,null,386408.2669,396010.3834
123,122,-2.206175,53.460663,7000,"Kasabian at O2 Apollo Manchester (April 25, 2005)","Manchester, UK",,,25/04/05,2005,4,25,null,386408.2669,396010.3834
124,123,-2.206175,53.460663,7000,"Kasabian with The Duke Spirit and El Presidente at O2 Apollo Manchester (April 26, 2005)","Manchester, UK",,,26/04/05,2005,4,26,null,386408.2669,396010.3834
125,124,-0.1331833,51.590786,10250,"Kasabian with The Duke Spirit and El Presidente at Alexandra Palace (April 28, 2005)","London, UK",,,28/04/05,2005,4,28,null,529418.5127,189643.4258
126,125,-0.1488263,50.82128,-1,"Kasabian with The Duke Spirit and El Presidente at Brighton Centre (April 29, 2005)","Brighton, UK",,,29/04/05,2005,4,29,null,530490.112,104047.9181
127,126,-1.379,54.907,-1,Radio One's Big Weekend 2005,"Sunderland, UK",,,07/05/05,2005,5,7,null,439915.2287,557096.8016
