id,xcoord,ycoord,venueSize,gigName,locationName,billing,headlineArtist,date,year,month,day,time
44,-0.948085,51.440952,-1,"The Verve at Reading University Student Union (May 2, 1992)","Reading, UK",,,1992-05-02,1992,5,2,null
45,-1.4648403,53.376324,900,"Spiritualized and The Verve at The Leadmill (May 3, 1992)","Sheffield, UK",,,1992-05-03,1992,5,3,null
46,-1.6152074,54.97923,-1,"The Verve at Newcastle University Students Union (May 4, 1992)","Newcastle Upon Tyne, UK",,,1992-05-04,1992,5,4,null
47,-2.9713595,53.402466,-1,"The Verve at Liverpool Polytechnic Student Union (May 5, 1992)","Liverpool, UK",,,1992-05-05,1992,5,5,null
48,-1.5065974,53.799652,-1,"The Verve at Leeds Irish Centre (May 7, 1992)","Leeds, UK",,,1992-05-07,1992,5,7,null
49,1.2490275,52.62884,1500,"The Verve at Norwich UEA LCR (May 8, 1992)","Norwich, UK",,,1992-05-08,1992,5,8,null
50,-0.141771,51.552048,2350,"Spiritualized with The Verve and Bark Psychosis at The Forum (May 10, 1992)","London, UK",,,1992-05-10,1992,5,10,null
51,-0.03674,51.476162,-1,"The Verve at The Venue, New Cross (June 12, 1992)","London, UK",,,1992-06-12,1992,6,12,null
52,-0.138,50.839,-1,"The Verve at The Richmond Hotel (July 8, 1992)","Brighton, UK",,,1992-07-08,1992,7,8,null
53,-0.6,51.4833,-1,"The Verve at Old Trout (July 9, 1992)","Windsor, UK",,,1992-07-09,1992,7,9,null
54,-1.3965323,50.904526,150,"The Verve at The Joiners (July 10, 1992)","Southampton, UK",,,1992-07-10,1992,7,10,null
55,-1.9017591,52.476963,-1,"The Verve at Edward No. 8 (July 12, 1992)","Birmingham, UK",,,1992-07-12,1992,7,12,null
56,-1.4826803,52.923294,-1,"The Verve at Wherehouse (July 13, 1992)","Derby, UK",,,1992-07-13,1992,7,13,null
57,-1.1377037,52.631897,-1,"The Verve at Princess Charlotte (July 15, 1992)","Leicester, UK",,,1992-07-15,1992,7,15,null
58,-0.8,51.8167,-1,"The Verve at The Recreation (July 16, 1992)","Aylesbury, UK",,,1992-07-16,1992,7,16,null
59,-0.1700149,51.462868,-1,"The Verve at The Clapham Grand (July 17, 1992)","London, UK",,,1992-07-17,1992,7,17,null
60,-2.23149,53.464108,450,"The Verve at Manchester Academy 3 (July 18, 1992)","Manchester, UK",,,1992-07-18,1992,7,18,null
61,-2.979,53.402,-1,"The Verve at Krazy House (July 19, 1992)","Liverpool, UK",,,1992-07-19,1992,7,19,null
62,-2.61667,53.5333,-1,"The Verve at Mill At The Pier (October 9, 1992)","Wigan, UK",,,1992-10-09,1992,10,9,null
63,-1.6038477,54.972137,-1,"The Verve at Riverside 1 (October 14, 1992)","Newcastle Upon Tyne, UK",,,1992-10-14,1992,10,14,null
64,-3.188,55.952,-1,"The Verve at Music Box (October 15, 1992)","Edinburgh, UK",,,1992-10-15,1992,10,15,null
65,-4.2653494,55.8625,300,"The Verve at King Tut's Wah Wah Hut (October 16, 1992)","Glasgow, UK",,,1992-10-16,1992,10,16,null
66,-1.4912771,53.381065,-1,"The Verve at Octagon Centre, University of Sheffield (October 19, 1992)","Sheffield, UK",,,1992-10-19,1992,10,19,null
67,-1.12483,52.623302,-1,"The Verve at Leicester University Student Union (October 20, 1992)","Leicester, UK",,,1992-10-20,1992,10,20,null
68,-0.1588255,51.551704,-1,"The Verve at Camden Town Hall (October 23, 1992)","Camden, UK",,,1992-10-23,1992,10,23,null
69,-2.9934728,51.58761,-1,"The Verve at Newport Centre (November 19, 1992)","Newport, UK",,,1992-11-19,1992,11,19,null
70,-1.751011,53.79226,-1,"The Verve at St George's Concert Hall (November 20, 1992)","Bradford, UK",,,1992-11-20,1992,11,20,null
71,-2.206175,53.460663,7000,"The Verve at O2 Apollo Manchester (November 21, 1992)","Manchester, UK",,,1992-11-21,1992,11,21,null
