id,xcoord,ycoord,bng_N,bng_E,venueSize,gigName,locationName,billing,headlineArtist,date,year,month,day,time
115,-4.2369184,55.855057,664690.9,259993.33,1900,"Blur at Barrowland Ballroom (September 13, 1993)","Glasgow, UK",,,1993-09-13,1993,9,13,null
116,-2.23157,53.464046,396422.12,384627.88,-1,"Blur at Manchester Metropolitan Student Union (October 2, 1993)","Manchester, UK",,,1993-10-02,1993,10,2,null
117,-2.2620878,53.00721,345612.12,382415.84,1100,"Blur at Keele University Student Union (October 3, 1993)","Keele, UK",,,1993-10-03,1993,10,3,null
118,-1.7598625,53.789955,432679.3,415818.5,-1,"Blur at Bradford University Union, Queens Hall (October 4, 1993)","Bradford, UK",,,1993-10-04,1993,10,4,null
119,-1.6152074,54.97923,565036.56,424624.88,-1,"Blur with Salad and Helicopter at Newcastle University Students Union (October 5, 1993)","Newcastle Upon Tyne, UK",,,1993-10-05,1993,10,5,null
120,-0.141771,51.552048,185374.97,528820.3,2350,"Blur with The Divine Comedy at The Forum (October 7, 1993)","London, UK",,,1993-10-07,1993,10,7,null
121,-2.1299286,52.586216,298761.62,391198.16,1200,"Blur at Wulfrun Hall (October 8, 1993)","Wolverhampton, UK",,,1993-10-08,1993,10,8,null
122,-3.34472,51.6014,190083.3,306877.47,-1,"Blur at Municipal Hall (October 9, 1993)","Pontypridd, UK",,,1993-10-09,1993,10,9,null
123,-1.12483,52.623302,303237.88,459236.6,-1,"Blur at Leicester University Student Union (October 10, 1993)","Leicester, UK",,,1993-10-10,1993,10,10,null
124,-1.5063632,52.408897,279146.34,433575.47,-1,"Blur at Coventry University (October 12, 1993)","Coventry, UK",,,1993-10-12,1993,10,12,null
125,-1.0785611,50.779034,98185.97,464956.84,-1,"Blur at South Parade Pier (October 14, 1993)","Southsea, UK",,,1993-10-14,1993,10,14,null
126,0.891874,51.895927,225933.2,598949.5,-1,"Blur with Salad and Garp at University of Essex (October 15, 1993)","Colchester, UK",,,1993-10-15,1993,10,15,null
127,-0.138,50.839,106100.81,531090.25,-1,"Blur with Salad and My Life Story at Sussex University (October 16, 1993)","Brighton, UK",,,1993-10-16,1993,10,16,null
128,-1.1535941,52.955887,340206.6,456854.47,2000,"Blur with Sleeper at Rock City (May 10, 1994)","Nottingham, UK",,,1994-05-10,1994,5,10,null
129,-2.1299286,52.586216,298761.62,391198.16,4000,"Blur with Sleeper at The Civic Hall (May 11, 1994)","Wolverhampton, UK",,,1994-05-11,1994,5,11,null
130,-4.247,55.86,665261.06,259380.3,-1,"Blur with Sleeper at Plaza (May 16, 1994)","Glasgow, UK",,,1994-05-16,1994,5,16,null
131,-3.1815026,55.941494,672677.9,326210.06,900,"Blur with Sleeper at The Queen's Hall (May 17, 1994)","Edinburgh, UK",,,1994-05-17,1994,5,17,null
132,-1.6094534,54.980087,565134.0,424992.6,-1,"Blur with Sleeper at Northumbria University Student Union (May 18, 1994)","Newcastle Upon Tyne, UK",,,1994-05-18,1994,5,18,null
133,-2.23149,53.464108,396428.9,384633.22,1500,"Blur with Sleeper at Manchester Academy (May 19, 1994)","Manchester, UK",,,1994-05-19,1994,5,19,null
134,-1.4912771,53.381065,387286.6,433835.84,-1,"Blur with Sleeper at Octagon Centre, University of Sheffield (May 21, 1994)","Sheffield, UK",,,1994-05-21,1994,5,21,null
135,-0.138,50.839,106100.81,531090.25,-1,"Blur at The Event (May 23, 1994)","Brighton, UK",,,1994-05-23,1994,5,23,null
136,1.1522043,52.0573,244617.38,616076.8,-1,"Blur with Sleeper at Ipswich Corn Exchange (May 24, 1994)","Ipswich, UK",,,1994-05-24,1994,5,24,null
137,-0.2238407,51.503506,179836.06,523262.38,2000,"Blur with Sleeper at O2 Shepherd's Bush Empire (May 25, 1994)","London, UK",,,1994-05-25,1994,5,25,null
138,-0.2238407,51.503506,179836.06,523262.38,2000,"Blur with Sleeper at O2 Shepherd's Bush Empire (May 26, 1994)","London, UK",,,1994-05-26,1994,5,26,null
139,-0.2238407,51.503506,179836.06,523262.38,2000,"Blur with Sleeper at O2 Shepherd's Bush Empire (May 27, 1994)","London, UK",,,1994-05-27,1994,5,27,null
140,-1.4055136,50.907608,112245.66,441793.5,1749,"Blur with Sleeper at O2 Guildhall Southampton (May 28, 1994)","Southampton, UK",,,1994-05-28,1994,5,28,null
141,1.2490275,52.62884,308450.78,619856.56,1500,"Blur with Sleeper at Norwich UEA LCR (May 29, 1994)","Norwich, UK",,,1994-05-29,1994,5,29,null
142,-1.5473124,53.8018,434065.22,429811.28,2700,"Blur with Sleeper at O2 Academy Leeds (May 31, 1994)","Leeds, UK",,,1994-05-31,1994,5,31,null
143,-0.8122743,51.815697,213725.39,481863.2,-1,"Blur with Sleeper at Aylesbury Civic Centre (Friars) (June 1, 1994)","Aylesbury, UK",,,1994-06-01,1994,6,1,null
144,-2.587,51.1663,141007.0,358961.97,-1,Glastonbury Festival 1994,"Pilton, UK",,,1994-06-24,1994,6,24,null
145,-4.247,55.86,665261.06,259380.3,-1,T In The Park 1994,"Glasgow, UK",,,1994-07-30,1994,7,30,null
146,-4.004525,55.786755,656645.94,274316.25,-1,In The Park 1994,"Motherwell, UK",,,1994-07-30,1994,7,30,null
147,0.1194611,52.20439,258403.69,544816.44,1800,"Blur with Sleeper at Corn Exchange Cambridge (October 4, 1994)","Cambridge, UK",,,1994-10-04,1994,10,4,null
148,-1.8731058,52.506416,289885.47,408611.88,-1,"Blur with Pulp at Aston Events Centre (October 5, 1994)","Birmingham, UK",,,1994-10-05,1994,10,5,null
149,0.891874,51.895927,225933.2,598949.5,-1,"Blur with Pulp at University of Essex (October 6, 1994)","Colchester, UK",,,1994-10-06,1994,10,6,null
150,-0.1331833,51.590786,189697.38,529305.6,10250,"Blur with Pulp and Supergrass at Alexandra Palace (October 7, 1994)","London, UK",,,1994-10-07,1994,10,7,null
151,0.9,51.8833,224551.8,599564.4,-1,"Blur at Unknown venue (December 16, 1994)","Colchester, UK",,,1994-12-16,1994,12,16,null
152,-0.141771,51.552048,185374.97,528820.3,2350,"Blur with Dodgy, Galliano, and Echobelly at The Forum (January 23, 1995)","London, UK",,,1995-01-23,1995,1,23,null
153,-0.1455831,51.537445,183744.52,528597.25,-1,"Blur with Soda at The Dublin Castle (May 18, 1995)","London, UK",,,1995-05-18,1995,5,18,null
154,-3.53333,50.7,90114.62,291727.4,-1,"Blur at Summer Ball, Exeter University (June 15, 1995)","Exeter, UK",,,1995-06-15,1995,6,15,null
155,-0.128,51.5078,180479.5,529900.8,-1,"Blur with Dodgy, Sparks, Cardiacs, and 1 more… at Mile End Stadium (June 17, 1995)","London, UK",,,1995-06-17,1995,6,17,null
156,-0.7597312,52.01577,236035.0,485105.44,65000,"R.E.M. with Magnapop, Belly, and Blur at The National Bowl (July 29, 1995)","Milton Keynes, UK",,,1995-07-29,1995,7,29,null
157,-0.033333,53.55,407757.3,530280.4,-1,"Blur at Pier 39 (September 12, 1995)","Cleethorpes, UK",,,1995-09-12,1995,9,12,null
158,-2.8444302,54.077934,465019.72,344757.38,-1,"Blur at The Dome (September 14, 1995)","Morecambe, UK",,,1995-09-14,1995,9,14,null
159,-0.1379306,51.51614,181388.83,529188.2,-1,"Blur at HMV Oxford Street (September 15, 1995)","London, UK",,,1995-09-15,1995,9,15,null
160,0.2857328,50.76346,98540.13,561179.1,-1,"Blur at Floral Hall (September 16, 1995)","Eastbourne, UK",,,1995-09-16,1995,9,16,null
161,1.16667,51.7833,214199.17,618394.7,-1,"Blur with Matt Lucas at Oscars Nightclub (September 17, 1995)","Clacton-on-sea, UK",,,1995-09-17,1995,9,17,null
162,-1.86,50.724,91671.41,409880.97,-1,"Blur at The Showbar (September 18, 1995)","Bournemouth, UK",,,1995-09-18,1995,9,18,null
163,-0.1442114,50.822224,104224.414,530699.9,-1,"Blur at The Paradox (September 19, 1995)","Brighton, UK",,,1995-09-19,1995,9,19,null
164,1.75,52.6333,310593.53,653718.8,-1,"Blur at Ocean Room (September 20, 1995)","Great Yarmouth, UK",,,1995-09-20,1995,9,20,null
165,-1.7289522,52.451088,283758.75,418418.16,15700,"Blur at LG Arena (November 25, 1995)","Birmingham, UK",,,1995-11-25,1995,11,25,null
166,-1.7289522,52.451088,283758.75,418418.16,15700,"Blur at LG Arena (November 26, 1995)","Birmingham, UK",,,1995-11-26,1995,11,26,null
167,-1.4168171,53.400543,389491.4,438770.53,13500,"Blur at Motorpoint Arena (November 27, 1995)","Sheffield, UK",,,1995-11-27,1995,11,27,null
168,-4.2809606,55.860603,665397.9,257257.62,-1,"Blur at Scottish Exhibition and Conference Centre (November 28, 1995)","Glasgow, UK",,,1995-11-28,1995,11,28,null
