id,xcoord,ycoord,bng_N,bng_E,venueSize,gigName,locationName,billing,headlineArtist,date,year,month,day,time
116,-2.235,53.477,397863.8,384404.94,-1,"Oasis with Chemical Brothers at NYNEX Arena (November 26, 1995)","Manchester, UK",,,1995-11-26,1995,11,26,null
117,-1.451299,55.04639,572579.44,435055.5,-1,"Oasis at Ice Rink (January 19, 1996)","Whitley Bay, UK",,,1996-01-19,1996,1,19,null
118,-3.188,55.952,673853.9,325824.38,-1,"Oasis with Ocean Colour Scene at Ingliston Exhibition Centre (January 21, 1996)","Edinburgh, UK",,,1996-01-21,1996,1,21,null
119,-3.188,55.952,673853.9,325824.38,-1,"Oasis with Ocean Colour Scene at Ingliston Exhibition Centre (January 22, 1996)","Edinburgh, UK",,,1996-01-22,1996,1,22,null
120,-3.1726308,51.478806,176245.6,318575.84,7500,"Oasis at Motorpoint Arena Cardiff (March 18, 1996)","Cardiff, UK",,,1996-03-18,1996,3,18,null
121,-3.1726308,51.478806,176245.6,318575.84,7500,"Oasis with Manic Street Preachers at Motorpoint Arena Cardiff (March 19, 1996)","Cardiff, UK",,,1996-03-19,1996,3,19,null
122,-2.235,53.477,397863.8,384404.94,-1,"Oasis with Manic Street Preachers and Ocean Colour Scene at Maine Road (April 27, 1996)","Manchester, UK",,,1996-04-27,1996,4,27,null
123,-2.2354121,53.4539,395294.28,384369.1,-1,"Oasis with Manic Street Preachers and Ocean Colour Scene at Manchester City Football Club (April 28, 1996)","Manchester, UK",,,1996-04-28,1996,4,28,null
124,-0.2,51.8667,220261.58,523920.94,-1,"Oasis with The Prodigy, Ocean Colour Scene, Chemical Brothers, and 1 more… at Knebworth Castle (August 10, 1996)","Knebworth, UK",,,1996-08-10,1996,8,10,null
125,-0.2106344,51.877506,221445.42,523159.3,-1,"Oasis with The Prodigy, Manic Street Preachers, Ocean Colour Scene, and 2 more… at Knebworth Park (August 10, 1996)","Knebworth, UK",,,1996-08-10,1996,8,10,null
126,-0.2106344,51.877506,221445.42,523159.3,-1,"Oasis with Manic Street Preachers, The Charlatans, Cast, and 2 more… at Knebworth Park (August 11, 1996)","Knebworth, UK",,,1996-08-11,1996,8,11,null
127,-0.117448,51.5034,180008.84,530645.56,-1,"Oasis at Royal Festival Hall, Southbank Centre (August 23, 1996)","London, UK",,,1996-08-23,1996,8,23,null
128,-3.44087,50.70878,90959.664,298275.0,-1,"Oasis at Westpoint Arena (September 13, 1997)","Exeter, UK",,,1997-09-13,1997,9,13,null
129,-3.44087,50.70878,90959.664,298275.0,-1,"Oasis at Westpoint Arena (September 14, 1997)","Exeter, UK",,,1997-09-14,1997,9,14,null
130,-1.624028,54.963074,563235.8,424070.06,-1,"Oasis with Travis at Newcastle Arena (September 16, 1997)","Newcastle Upon Tyne, UK",,,1997-09-16,1997,9,16,null
131,-1.624028,54.963074,563235.8,424070.06,-1,"Oasis at Metro Radio Arena (September 17, 1997)","Newcastle Upon Tyne, UK",,,1997-09-17,1997,9,17,null
132,-2.11,57.1526,806845.94,393345.75,-1,"Oasis with Travis at Aberdeen Exhibition & Conference Centre (September 19, 1997)","Aberdeen, UK",,,1997-09-19,1997,9,19,null
133,-2.11,57.1526,806845.94,393345.75,-1,"Oasis at Aberdeen Exhibition & Conference Centre (September 20, 1997)","Aberdeen, UK",,,1997-09-20,1997,9,20,null
134,-1.4168171,53.400543,389491.4,438770.53,13500,"Oasis with Travis at Motorpoint Arena (September 22, 1997)","Sheffield, UK",,,1997-09-22,1997,9,22,null
135,-1.4168171,53.400543,389491.4,438770.53,13500,"Oasis at Motorpoint Arena (September 23, 1997)","Sheffield, UK",,,1997-09-23,1997,9,23,null
136,-0.1965816,51.490677,178455.64,525189.1,19000,"Oasis with The Verve at Earls Court (September 25, 1997)","London, UK",,,1997-09-25,1997,9,25,null
137,-0.1965816,51.490677,178455.64,525189.1,19000,"Oasis with The Verve at Earls Court (September 26, 1997)","London, UK",,,1997-09-26,1997,9,26,null
138,-0.1965816,51.490677,178455.64,525189.1,19000,"Oasis with The Verve at Earls Court (September 27, 1997)","London, UK",,,1997-09-27,1997,9,27,null
139,-1.9187133,52.48265,287237.75,405519.62,-1,"Oasis with Travis at National Indoor Arena (September 29, 1997)","Birmingham, UK",,,1997-09-29,1997,9,29,null
140,-1.9187133,52.48265,287237.75,405519.62,-1,"Oasis with Travis at National Indoor Arena (September 30, 1997)","Birmingham, UK",,,1997-09-30,1997,9,30,null
