"OBJECTID,N,9,0","id,N,9,0","xcoord,N,19,11","ycoord,N,19,11","venueSize,N,9,0","gigName,C,254","locationNa,C,254","billing,C,254","headlineAr,C,254","date,D","year,N,9,0","month,N,9,0","day,N,9,0","time,C,254",XBNG,YBNG
70,69,-0.1394403,50.824944,-1,"Arctic Monkeys at Komedia Brighton (August 24, 2005)","Brighton, UK",,,24/08/05,2005,8,24,null,531140.9428,104471.9275
71,70,0.1203372,52.204212,-1,"Arctic Monkeys at Soul Tree (August 25, 2005)","Cambridge, UK",,,25/08/05,2005,8,25,null,544991.9998,258339.0331
72,71,-1.548,53.797,-1,Leeds Festival 2005,"Leeds, UK",,,26/08/05,2005,8,26,null,429870.7064,433504.9945
73,72,-0.969,51.454,-1,Reading Festival 2005,"Reading, UK",,,26/08/05,2005,8,26,null,471734.4079,173283.7085
74,73,-2.987573,53.406258,350,"Arctic Monkeys at Cavern Club Liverpool (October 2, 2005)","Liverpool, UK",,,02/10/05,2005,10,2,null,334443.7911,390392.3575
75,74,-2.23149,53.464108,850,"Nine Black Alps with Arctic Monkeys and Forward, Russia! at Manchester Academy 2 (October 3, 2005)","Manchester, UK",,,03/10/05,2005,10,3,null,384728.7049,396398.8156
76,75,1.3022738,52.6244,700,"Arctic Monkeys with Milburn at Waterfront (October 5, 2005)","Norwich, UK",,,05/10/05,2005,10,5,null,623606.429,308079.9109
77,76,-0.1304708,51.515884,2000,"Arctic Monkeys with Milburn at Astoria (October 6, 2005)","London, UK",,,06/10/05,2005,10,6,null,529819.3053,181318.8073
78,77,-1.0919461,50.780563,-1,"Arctic Monkeys with Milburn at Pyramids Centre (October 7, 2005)","Portsmouth, UK",,,07/10/05,2005,10,7,null,464115.5341,98280.2128
79,78,-3.1678114,51.465096,900,"Milburn and Arctic Monkeys at Coal Exchange (October 9, 2005)","Cardiff, UK",,,09/10/05,2005,10,9,null,318972.5917,174660.9295
80,79,-1.57185,54.773342,-1,"Milburn and Arctic Monkeys at Durham University Student Union (October 10, 2005)","Durham, UK",,,10/10/05,2005,10,10,null,427640.9999,542130.9777
81,80,-1.5030988,52.412834,-1,"Arctic Monkeys with Milburn at Kasbah (October 11, 2005)","Coventry, UK",,,11/10/05,2005,10,11,null,433895.735,279542.0324
82,81,-2.5923908,51.45605,-1,"Arctic Monkeys with Milburn at Bierkeller (October 12, 2005)","Bristol, UK",,,12/10/05,2005,10,12,null,358936.559,173174.414
83,82,-4.2637663,55.865444,-1,"Arctic Monkeys with Milburn at O2 ABC (October 14, 2005)","Glasgow, UK",,,14/10/05,2005,10,14,null,258431.5463,665902.568
84,83,-2.2460308,53.474,1500,"Arctic Monkeys with Milburn at The Ritz (October 16, 2005)","Manchester, UK",,,16/10/05,2005,10,16,null,383767.1379,397502.5716
85,84,-1.546665,53.794292,-1,"Arctic Monkeys with Milburn at Blank Canvas (October 17, 2005)","Leeds, UK",,,17/10/05,2005,10,17,null,429960.5645,433204.2656
86,85,-3.212123,55.944912,-1,"Arctic Monkeys with Milburn at The Exchange (October 19, 2005)","Edinburgh, UK",,,19/10/05,2005,10,19,null,324393.3474,673093.5255
87,86,-2.1299286,52.586216,4000,"Steve Vai with Milburn and Arctic Monkeys at The Civic Hall (October 20, 2005)","Wolverhampton, UK",,,20/10/05,2005,10,20,null,391294.1205,298720.2267
88,87,-2.1299286,52.586216,1200,"Arctic Monkeys with Milburn at Wulfrun Hall (October 20, 2005)","Wolverhampton, UK",,,20/10/05,2005,10,20,null,391294.1205,298720.2267
89,88,-2.9767334,53.401184,-1,"Arctic Monkeys at Barfly Liverpool (October 21, 2005)","Liverpool, UK",,,21/10/05,2005,10,21,null,335156.6564,389817.9642
90,89,-1.4648403,53.376324,900,"Arctic Monkeys with Reverend and The Makers, Milburn, and Harrisons at The Leadmill (January 22, 2006)","Sheffield, UK",,,22/01/06,2006,1,22,null,435700.0049,386740.8979
91,90,-5.9313855,54.59571,-1,"Arctic Monkeys at Ulster Hall (January 25, 2006)","Belfast, UK",,,25/01/06,2006,1,25,null,146148.586,529387.7329
92,91,-4.259961,55.849842,2500,"Arctic Monkeys at O2 Academy Glasgow (January 27, 2006)","Glasgow, UK",,,27/01/06,2006,1,27,null,258612.9293,664158.8111
93,92,-3.2488115,55.92827,-1,"Max´mo Park and Arctic Monkeys with We Are Scientists and Mystery Jets at Edinburgh Corn Exchange (January 28, 2006)","Edinburgh, UK",,,28/01/06,2006,1,28,null,322068.5871,671282.227
